City,Season Start,Season End,Month,Day,Match Number,Team 1,Team 2,Venue,Toss Winner,Toss Decision,Super Over,Winning Team,Won By,Margin,Method,Player of Match,Team 1 Players,Team 2 Players,Umpire 1,Umpire 2
Bangalore,2016,2016,May,Monday,30,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,5.0,NA,AD Russell,"['KL Rahul', 'CH Gayle', 'V Kohli', 'AB de Villiers', 'SR Watson', 'Sachin Baby', 'STR Binny', 'VR Aaron', 'S Aravind', 'YS Chahal', 'T Shamsi']","['RV Uthappa', 'G Gambhir', 'CA Lynn', 'MK Pandey', 'YK Pathan', 'AD Russell', 'SA Yadav', 'PP Chawla', 'UT Yadav', 'SP Narine', 'M Morkel']",M Erasmus,S Ravi
Rajkot,2016,2016,May,Sunday,28,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Gujarat Lions,field,N,Kings XI Punjab,Runs,23.0,NA,AR Patel,"['DR Smith', 'BB McCullum', 'SK Raina', 'KD Karthik', 'RA Jadeja', 'DJ Bravo', 'Ishan Kishan', 'JP Faulkner', 'P Kumar', 'DS Kulkarni', 'S Kaushik']","['M Vijay', 'MP Stoinis', 'SE Marsh', 'GJ Maxwell', 'Gurkeerat Singh', 'DA Miller', 'WP Saha', 'AR Patel', 'MM Sharma', 'KC Cariappa', 'Sandeep Sharma']",BNJ Oxenford,VK Sharma
Pune,2016,2016,May,Sunday,29,Rising Pune Supergiants,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,field,N,Mumbai Indians,Wickets,8.0,NA,RG Sharma,"['AM Rahane', 'SS Tiwary', 'SPD Smith', 'PSP Handscomb', 'MS Dhoni', 'NLTC Perera', 'R Bhatia', 'SM Boland', 'R Ashwin', 'AB Dinda', 'M Ashwin']","['RG Sharma', 'PA Patel', 'AT Rayudu', 'JC Buttler', 'KH Pandya', 'KA Pollard', 'HH Pandya', 'Harbhajan Singh', 'JJ Bumrah', 'TG Southee', 'MJ McClenaghan']",AY Dandekar,RJ Tucker
Delhi,2016,2016,April,Saturday,26,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,field,N,Delhi Daredevils,Runs,27.0,NA,CR Brathwaite,"['Q de Kock', 'SS Iyer', 'SV Samson', 'KK Nair', 'SW Billings', 'CH Morris', 'CR Brathwaite', 'RR Pant', 'Mohammed Shami', 'A Mishra', 'Z Khan']","['RV Uthappa', 'G Gambhir', 'PP Chawla', 'YK Pathan', 'SA Yadav', 'R Sathish', 'AD Russell', 'JO Holder', 'UT Yadav', 'SP Narine', 'GB Hogg']",KN Ananthapadmanabhan,M Erasmus
Hyderabad,2016,2016,April,Saturday,27,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,field,N,Sunrisers Hyderabad,Runs,15.0,NA,DA Warner,"['DA Warner', 'S Dhawan', 'KS Williamson', 'MC Henriques', 'NV Ojha', 'DJ Hooda', 'A Ashish Reddy', 'BB Sran', 'B Kumar', 'A Nehra', 'Mustafizur Rahman']","['V Kohli', 'KL Rahul', 'AB de Villiers', 'SR Watson', 'Sachin Baby', 'KM Jadhav', 'Parvez Rasool', 'VR Aaron', 'HV Patel', 'KW Richardson', 'T Shamsi']",AK Chaudhary,HDPK Dharmasena
Pune,2016,2016,April,Friday,25,Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket Association Stadium,Gujarat Lions,field,N,Gujarat Lions,Wickets,3.0,NA,DR Smith,"['AM Rahane', 'SS Tiwary', 'SPD Smith', 'MS Dhoni', 'NLTC Perera', 'JA Morkel', 'R Bhatia', 'PSP Handscomb', 'R Ashwin', 'M Ashwin', 'AB Dinda']","['DR Smith', 'BB McCullum', 'SK Raina', 'KD Karthik', 'DJ Bravo', 'RA Jadeja', 'JP Faulkner', 'Ishan Kishan', 'P Kumar', 'DS Kulkarni', 'S Kaushik']",CB Gaffaney,BNJ Oxenford
Mumbai,2016,2016,April,Thursday,24,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,N,Mumbai Indians,Wickets,6.0,NA,RG Sharma,"['RG Sharma', 'PA Patel', 'AT Rayudu', 'KH Pandya', 'JC Buttler', 'KA Pollard', 'HH Pandya', 'Harbhajan Singh', 'JJ Bumrah', 'TG Southee', 'MJ McClenaghan']","['RV Uthappa', 'G Gambhir', 'Shakib Al Hasan', 'SA Yadav', 'AD Russell', 'CA Lynn', 'YK Pathan', 'R Sathish', 'UT Yadav', 'SP Narine', 'JD Unadkat']",Nitin Menon,RJ Tucker
Delhi,2016,2016,April,Wednesday,23,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Delhi Daredevils,field,N,Gujarat Lions,Runs,1.0,NA,CH Morris,"['Q de Kock', 'SV Samson', 'KK Nair', 'JP Duminy', 'RR Pant', 'CH Morris', 'P Negi', 'A Mishra', 'Z Khan', 'S Nadeem', 'Imran Tahir']","['DR Smith', 'BB McCullum', 'SK Raina', 'KD Karthik', 'RA Jadeja', 'Ishan Kishan', 'DJ Bravo', 'JP Faulkner', 'P Kumar', 'DS Kulkarni', 'PV Tambe']",M Erasmus,S Ravi
Hyderabad,2016,2016,April,Tuesday,22,Sunrisers Hyderabad,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiants,field,N,Rising Pune Supergiants,Runs,34.0,D/L,AB Dinda,"['DA Warner', 'S Dhawan', 'AP Tare', 'EJG Morgan', 'DJ Hooda', 'MC Henriques', 'NV Ojha', 'Bipul Sharma', 'B Kumar', 'A Nehra', 'Mustafizur Rahman']","['AM Rahane', 'F du Plessis', 'SPD Smith', 'MS Dhoni', 'SS Tiwary', 'NLTC Perera', 'MR Marsh', 'R Bhatia', 'R Ashwin', 'M Ashwin', 'AB Dinda']",AY Dandekar,CK Nandan
Chandigarh,2016,2016,April,Monday,21,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,field,N,Mumbai Indians,Runs,25.0,NA,PA Patel,"['M Vijay', 'M Vohra', 'SE Marsh', 'GJ Maxwell', 'DA Miller', 'NS Naik', 'AR Patel', 'MG Johnson', 'MM Sharma', 'P Sahu', 'Sandeep Sharma']","['RG Sharma', 'PA Patel', 'AT Rayudu', 'JC Buttler', 'KA Pollard', 'HH Pandya', 'KH Pandya', 'Harbhajan Singh', 'TG Southee', 'MJ McClenaghan', 'JJ Bumrah']",Nitin Menon,RJ Tucker
